,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.utilities,appCat.weather
15,2014-04-16,2,8.5,0.75,0.75,0.13353057634705043,4246.232999801635,7.0,0.0,1230.116,2011.749,2182.14,0.0,47.742999999999995,363.157,243.92900000000003,0.0,
16,2014-04-17,3,8.5,0.5,0.5,0.06720556162513883,4340.205000877383,4.0,0.0,1464.969,1255.765,1050.2759999999998,0.0,17.195,0.0,149.346,0.0,
17,2014-04-18,4,7.0,-1.0,1.0,0.13305988826478973,8390.177999973299,2.0,1.0,987.7610000000001,2287.9570000000003,3508.6270000000004,0.0,130.114,159.728,100.33500000000001,0.0,
18,2014-04-21,0,7.0,-1.75,-0.25,0.029860055442116274,4231.040000200271,1.0,0.0,157.15400000000002,3546.5799999999995,313.47100000000006,0.0,45.141000000000005,0.0,0.0,0.0,
19,2014-04-23,2,7.0,-0.2,0.0,0.11251810370003702,5594.706999063487,3.0,1.0,912.164,1907.8739999999998,824.497,0.0,288.339,106.273,179.338,0.0,
20,2014-04-24,3,8.0,0.0,0.5,0.06199745012223154,4941.214999198914,9.0,0.0,1261.81,2787.632,413.1479999999999,0.0,26.28,112.34,24.266,0.0,
21,2014-04-25,4,8.0,0.0,1.0,0.13350209975654284,18788.159000635154,6.0,1.0,1097.703,3378.6990000000005,651.2479999999999,0.0,236.387,349.70599999999996,132.85,0.0,
22,2014-04-27,6,7.0,-0.5,0.0,0.04827651631167715,5141.03399944305,4.0,0.0,1398.979,1065.272,646.4970000000001,0.0,16.711,403.20899999999995,0.0,447.418,
23,2014-04-28,0,7.5,0.25,0.25,0.06371385793880942,7088.695999860767,7.0,0.0,2309.1839999999993,2618.061,4963.497999999998,0.0,31.539,0.0,70.423,0.0,
24,2014-04-29,1,8.0,1.0,0.6666666666666666,0.10983779706651793,2564.8539996147165,5.0,0.0,93.159,2002.4339999999997,506.89200000000005,0.0,102.58099999999999,0.0,0.0,0.0,
25,2014-04-30,2,7.0,0.0,0.6666666666666666,0.08127054335939998,7621.398999691012,6.0,3.0,482.12500000000006,1788.7890000000002,651.8050000000001,0.0,42.578,0.0,103.49000000000001,0.0,
26,2014-05-01,3,7.0,-1.0,0.0,0.1479701336183231,3929.968999385835,9.0,0.0,544.3810000000001,2831.2959999999994,863.829,0.0,40.7,0.0,0.0,0.0,
27,2014-05-02,4,7.25,-0.25,0.0,0.09364718407023619,3621.993000984192,10.0,0.0,585.379,2228.2049999999995,759.5339999999999,0.0,40.260000000000005,0.0,89.955,0.0,
28,2014-05-03,5,7.5,-1.0,0.5,0.08217935897341168,2209.7899997234335,2.0,0.0,272.89,1717.799,199.436,0.0,16.111,0.0,0.0,0.0,
29,2014-05-04,6,8.666666666666666,0.3333333333333333,1.0,0.11628094765606733,4015.883999586105,1.0,1.0,390.16499999999996,2605.7119999999995,236.739,0.0,166.292,430.094,0.0,0.0,
30,2014-05-05,0,7.0,-0.5,0.0,0.035089340366364026,5759.7540001869165,21.0,0.0,1561.07,3659.5919999999996,2165.4269999999997,0.0,35.454,341.933,0.0,0.0,
31,2014-05-07,2,6.0,-1.0,-0.25,0.06833858284161862,3372.4449989795685,4.0,0.0,725.719,2027.831,589.095,0.0,46.36699999999999,1.007,113.69300000000001,0.0,
32,2014-05-08,3,6.0,-1.0,-0.25,0.11164228256716864,5126.648000478743,13.0,2.0,2509.9369999999994,3658.155,487.702,0.0,66.38,0.0,0.0,0.0,
33,2014-05-09,4,7.75,-0.25,0.75,0.0774799083560095,5151.195997714999,9.0,0.0,1177.3310000000001,2304.92,1143.826,0.0,32.406,0.0,575.6669999999999,0.0,
34,2014-05-10,5,7.25,-0.75,0.5,0.13163296857853618,4791.854000568391,6.0,0.0,748.367,2962.6479999999997,3210.226,0.0,52.517,1881.1550000000002,666.5790000000001,0.0,
35,2014-05-11,6,7.2,-1.4,0.2,0.09932764876165294,2117.0530004501343,6.0,0.0,403.986,1289.1970000000001,418.114,6.036,221.78199999999998,0.0,0.0,0.0,
36,2014-05-12,0,7.2,-0.6,0.2,0.11047802993722843,825.7639997005468,0.0,0.0,0.0,552.23,274.27500000000003,0.0,19.545,0.0,0.0,0.0,
37,2014-04-19,5,,,,0.047567897669984816,1276.6809999942775,2.0,0.0,600.7740000000001,374.33900000000006,108.147,0.0,0.0,186.998,0.0,0.0,
38,2014-04-20,6,,,,0.05523183859008613,2566.197000026703,0.0,0.0,146.47199999999998,1650.384,225.367,0.0,6.122,0.0,0.0,0.0,
39,2014-04-22,1,,,,0.12540065280144733,6734.573999881739,3.0,0.0,679.4540000000001,2606.399,740.153,0.0,0.0,595.034,169.197,0.0,
40,2014-04-26,5,,,,0.18462745393003585,2330.2239999771136,0.0,0.0,0.0,1918.3190000000002,790.061,0.0,0.0,0.0,0.0,0.0,
41,2014-05-06,1,,,,0.13699520686156685,3953.4019997119913,9.0,0.0,602.0609999999999,3399.973,1029.736,0.0,70.409,0.0,0.0,0.0,
42,2014-05-13,1,,,,0.09025387263339067,473.70499992370605,0.0,0.0,235.942,382.468,52.797,0.0,0.0,0.0,0.0,0.0,
43,2014-05-14,2,,,,0.164353897343588,703.3159997463223,0.0,0.0,215.723,375.60900000000004,111.207,0.0,0.0,0.0,0.0,0.0,
