,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
26,2014-05-11,6,7.25,-1.0,1.0,0.04532817794004062,2923.7169988155356,0.0,2.0,2491.643,1630.8760000000002,0.0,0.0,48.338,22.641,0.0,13.612,
27,2014-05-12,0,7.0,-0.8,0.6,0.0939778741437274,10976.620000362389,1.0,0.0,2272.0209999999997,5175.257,383.575,150.02700000000002,54.340999999999994,599.6669999999999,0.0,0.0,
28,2014-05-13,1,7.5,-0.25,0.75,0.05427813780879583,5407.47499895096,2.0,0.0,1634.315,3263.034,125.26499999999999,14.125,48.437,93.593,0.0,0.0,
29,2014-05-14,2,5.2,-1.0,-0.4,0.06217174433151498,6067.9690001010895,7.0,1.0,2639.1530000000002,3261.033,141.609,0.0,62.052,512.613,23.2,0.0,
30,2014-05-15,3,6.4,0.2,0.4,0.05449630453369234,8698.70900130272,9.0,4.0,2112.834,5518.207000000001,0.0,39.219,69.465,217.191,0.0,0.0,
31,2014-05-16,4,7.0,0.0,1.0,0.021811648278146994,4695.734002113343,3.0,0.0,717.025,1739.334,0.0,0.0,46.41199999999999,575.7579999999999,0.0,0.0,
32,2014-05-17,5,7.6,-0.4,1.0,0.030052303407238617,5039.252000570299,1.0,0.0,2311.96,3430.6330000000003,0.0,0.0,44.292,252.347,0.0,0.0,
33,2014-05-18,6,7.2,-0.2,0.6,0.0267361111111111,5945.024000883101,4.0,2.0,1312.851,4030.859,11.896999999999998,0.0,57.46600000000001,223.05900000000003,0.0,0.0,
34,2014-05-19,0,7.4,0.25,0.75,0.007986111111111112,2916.736999988555,1.0,1.0,557.235,1889.4530000000002,12.04,0.0,65.623,391.113,0.0,0.0,
35,2014-05-20,1,7.0,0.0,1.0,0.04450887793133784,2971.6399996280675,5.0,1.0,1065.0349999999999,1458.8229999999999,0.0,0.0,31.352999999999998,395.141,0.0,0.0,
36,2014-05-21,2,6.2,0.2,0.4,0.0510416666666667,2280.1799991130824,0.0,2.0,927.4639999999999,1214.9399999999998,8.402000000000001,0.0,72.87100000000001,51.438,0.0,0.0,
37,2014-05-22,3,6.6,0.6,0.8,0.04213643790849669,2992.290999412536,1.0,2.0,876.145,2184.1719999999996,0.0,0.0,73.486,36.485,0.0,0.0,
38,2014-05-23,4,6.8,-0.2,0.6,0.01122966950795965,3744.2699997425043,1.0,0.0,857.5360000000001,1365.385,95.778,0.0,50.345,659.9799999999999,0.0,34.409,
39,2014-05-24,5,7.2,0.0,0.8,0.011447603234842322,1551.6969993114476,0.0,0.0,322.092,754.465,0.0,0.0,68.185,142.219,0.0,0.0,
40,2014-05-25,6,7.0,0.25,1.0,0.04596280602636538,6859.74700021744,3.0,0.0,1230.5169999999998,875.8229999999999,0.0,0.0,48.401999999999994,19.062,0.0,0.0,
41,2014-05-26,0,7.0,0.8,1.0,0.002735433604336042,2361.5380012989044,1.0,1.0,565.979,1536.6299999999999,0.0,0.0,61.729,137.684,0.0,0.0,
42,2014-05-27,1,6.2,0.5,0.6666666666666666,0.06439944767151781,3875.860000848767,3.0,1.0,1172.0749999999998,1462.2630000000001,0.0,0.0,55.153999999999996,200.744,0.0,0.0,
43,2014-05-28,2,6.6,0.0,0.5,0.09822330765912596,10057.185000658033,8.0,4.0,2055.828,2280.9600000000005,0.0,0.0,66.32000000000001,126.86899999999999,544.4879999999999,0.0,
44,2014-05-29,3,7.0,-0.4,0.8,0.018571816937442157,4196.082999229433,0.0,0.0,2042.3710000000003,2922.165,0.0,0.0,50.695,197.06700000000004,0.0,0.0,
45,2014-05-30,4,7.4,0.2,1.2,0.03568424788578982,5724.52500128746,12.0,0.0,807.116,3738.6049999999996,0.0,0.0,45.191,252.197,0.0,0.0,
46,2014-05-31,5,7.0,1.0,1.0,0.21251956201963162,1705.0779998302467,0.0,0.0,1063.1150000000002,624.496,0.0,0.0,7.019,0.0,0.0,0.0,
47,2014-06-01,6,6.833333333333333,-1.0,0.6666666666666666,0.04736275178537994,5012.92099881172,5.0,0.0,1593.2900000000002,2309.3140000000003,0.0,0.0,81.069,759.968,0.0,0.0,
48,2014-06-02,0,6.75,0.3333333333333333,1.0,0.03904773900723554,4468.588999986648,1.0,0.0,946.7460000000001,2473.986,212.05,0.0,22.127,795.8689999999999,0.0,0.0,
49,2014-06-03,1,7.8,0.4,1.0,0.09147694314185693,6519.175999641417,1.0,9.0,1579.1979999999999,3937.298,0.0,0.0,38.605000000000004,74.565,0.0,0.0,
50,2014-06-04,2,7.0,0.5,1.0,0.04638485469545906,5223.861999511719,1.0,1.0,704.66,4459.023,0.0,0.0,38.774,68.938,0.0,0.0,
51,2014-06-05,3,7.0,0.0,1.0,0.1523427216624798,2371.5889992713933,11.0,0.0,1749.2769999999996,958.8210000000001,0.0,0.0,47.36,171.964,225.737,0.0,
52,2014-06-06,4,7.5,0.5,1.0,0.18947597457214285,2733.3319997787476,16.0,0.0,945.8979999999999,1710.9240000000002,0.0,0.0,36.414,0.0,0.0,0.0,
53,2014-06-07,5,8.0,-1.0,,0.08189323794216777,5530.377999305731,0.0,2.0,5027.498,735.9649999999999,0.0,0.0,6.214,106.85,0.0,0.0,
54,2014-06-08,6,6.5,-1.5,1.0,0.07951018024032033,1131.197999477387,0.0,0.0,351.3889999999999,375.515,0.0,0.0,18.069000000000003,190.76,0.0,0.0,
56,2014-06-09,0,,,,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
