,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
64,2014-03-13,3,,,,,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,2014-03-14,4,,,,,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,2014-03-15,5,,,,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67,2014-03-16,6,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,2014-03-18,1,,,,,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,2014-03-19,2,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,2014-03-20,3,7.0,0.3333333333333333,0.6666666666666666,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,2014-03-21,4,6.4,-0.6,0.4,0.17338556642033123,10506.898999214174,9.0,0.0,2765.0029999999997,2927.5060000000003,214.909,413.512,0.0,0.0,3858.509,1411.9189999999999,63.638,0.0,
2,2014-03-22,5,5.8,-0.6,0.0,0.09600046671698094,12238.16700005531,0.0,0.0,5753.343999999999,4851.759,604.668,281.008,0.0,0.0,1110.389,1862.0810000000004,0.0,0.0,
3,2014-03-23,6,6.0,-0.6,0.2,0.0664366525273635,8890.100001811983,0.0,0.0,5172.019,3209.2239999999993,315.57700000000006,159.62400000000002,0.0,0.0,304.80899999999997,1348.606,0.0,0.0,
4,2014-03-24,0,6.5,-1.0,0.25,0.08183477959828252,12546.41900038719,0.0,0.0,3389.1180000000004,6946.742000000001,465.08599999999996,868.4489999999998,0.0,0.0,439.07399999999996,950.6170000000001,210.029,0.0,
5,2014-03-25,1,5.75,-0.25,0.0,0.0869440958385846,13155.095999240875,1.0,1.0,5014.601000000001,5569.083,0.0,377.516,0.0,0.0,1517.7050000000002,1172.6940000000002,1469.523,0.0,
6,2014-03-26,2,7.0,-0.2,1.0,0.13618336177266901,10784.664999961853,1.0,1.0,3035.8779999999997,4654.136,517.605,6.048,0.0,0.0,1899.1490000000003,1055.6129999999998,104.189,0.0,
7,2014-03-27,3,6.6,-1.0,0.8,0.08024686578120244,12552.150002241135,1.0,0.0,1914.585,9562.313,245.311,155.584,0.0,0.0,98.693,1623.8839999999998,1.008,0.0,
8,2014-03-28,4,6.2,-0.4,0.6,0.0696839987353426,11750.760998725891,1.0,0.0,6551.704,7143.946999999999,161.928,223.365,0.0,0.0,309.146,1189.358,0.0,13.838000000000001,
9,2014-03-29,5,8.0,-0.25,1.25,0.16564287093948113,4674.609998226168,1.0,1.0,3150.464,1853.369,11.45,155.06099999999998,0.0,0.0,33.428,821.441,0.0,0.0,
10,2014-03-30,6,6.5,-1.0,1.0,0.009551822310687779,2666.268000602723,1.0,0.0,26314.185999999994,520.243,0.0,0.0,0.0,0.0,24.286,0.0,0.0,0.0,
11,2014-03-31,0,6.75,-0.25,0.75,0.04655517574261341,3093.012999773025,4.0,2.0,3419.8880000000004,1041.851,0.0,0.0,0.0,0.0,39.337,0.0,0.0,0.0,
12,2014-04-01,1,6.2,0.0,0.4,0.052005566719441405,430.88399982452404,0.0,0.0,262.253,95.12,0.0,0.0,0.0,0.0,40.202,32.446,0.0,0.0,
13,2014-04-02,2,7.0,-1.0,1.0,0.06348750312481978,779.8729991912842,0.0,0.0,1549.849,160.76300000000003,0.0,0.0,0.0,0.0,14.067,71.732,0.0,0.0,
14,2014-04-03,3,7.333333333333333,-0.5,1.0,0.06938709391802697,2372.658999443057,0.0,0.0,1613.333,373.998,0.0,8.059,0.0,0.0,67.906,46.582,0.0,0.0,
15,2014-04-04,4,7.5,-1.0,1.0,0.0038194444444444413,307.5409996509551,0.0,0.0,239.324,36.288,0.0,0.0,0.0,0.0,31.473000000000003,0.0,0.0,0.0,
16,2014-04-05,5,7.4,-1.6,0.6,0.016678436911487744,1485.8990004062653,0.0,0.0,1584.1660000000002,755.504,0.0,0.0,0.0,3.011,66.697,79.28,0.0,0.0,
17,2014-04-06,6,7.4,-1.0,1.0,0.02901523603791795,1263.3870003223415,1.0,0.0,1628.3430000000003,6760.954,0.0,0.0,0.0,0.0,44.724000000000004,109.675,0.0,0.0,
18,2014-04-07,0,7.0,-0.2,1.0,0.008827357154755954,550.3640000820161,0.0,1.0,224.36499999999995,106.62700000000001,0.0,0.0,0.0,0.0,84.59699999999998,133.944,0.0,0.0,
19,2014-04-08,1,6.8,-0.2,0.8,0.03959208683473389,452.85699939727783,1.0,0.0,40323.877,67.482,0.0,0.0,0.0,0.0,47.408,0.0,0.0,0.0,
20,2014-04-09,2,8.0,0.3333333333333333,1.0,0.11708683473389354,1098.342000484467,0.0,0.0,879.335,166.576,0.0,0.0,0.0,0.0,30.412,13.054,0.0,0.0,
21,2014-04-10,3,6.666666666666667,-0.3333333333333333,1.0,0.052010804321728686,846.4809994697566,0.0,0.0,881.5429999999999,18.882,0.0,0.0,0.0,0.0,23.165,29.299,0.0,0.0,
22,2014-04-11,4,7.75,1.0,1.0,0.026137955182072823,552.9420001506808,2.0,0.0,5877.101999999998,19.197,0.0,0.0,0.0,0.0,61.623,66.422,0.0,0.0,
23,2014-04-12,5,7.5,0.0,1.0,0.06368182159869593,115.9870002269745,0.0,0.0,93.68199999999999,0.0,0.0,0.0,0.0,0.0,22.239,0.0,0.0,0.0,
44,2014-04-13,6,,,,0.0,29.7229998111725,0.0,0.0,29.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,2014-04-14,0,7.5,0.0,1.0,0.006666666666666667,327.7780001163484,0.0,0.0,168.58999999999997,40.208,0.0,0.0,0.0,0.0,2939.1149999999993,0.0,0.0,0.0,
25,2014-04-15,1,6.0,-1.0,0.3333333333333333,0.0018079959256429832,321.80199980735784,0.0,0.0,3100.845,52.448,0.0,0.0,0.0,0.0,28.393,15.486,0.0,0.0,
26,2014-04-16,2,6.0,0.5,0.25,0.05852007469654528,742.9860000610349,0.0,0.0,5338.439000000001,13.135,0.0,0.0,0.0,0.0,55.264,0.0,0.0,0.0,
27,2014-04-17,3,6.2,0.0,0.4,0.053160014005602274,801.4089996814733,0.0,1.0,12956.375,50.411,0.0,0.0,0.0,77.54299999999999,85.616,18.177,0.0,0.0,
28,2014-04-18,4,6.5,-1.0,0.0,0.020833333333333308,106.7050001621246,0.0,0.0,102.985,39.213,0.0,0.0,0.0,0.0,28.419999999999998,0.0,0.0,0.0,
29,2014-04-19,5,6.75,0.25,1.0,0.0017390289449112958,258.98600029945374,0.0,1.0,131.963,78.107,0.0,0.0,0.0,0.0,48.378,0.0,0.0,0.0,
30,2014-04-20,6,7.5,-1.0,0.5,0.00799778244631186,863.2370004653926,0.0,1.0,430.8519999999999,211.953,0.0,0.0,169.699,0.0,50.403000000000006,0.0,0.0,0.0,
31,2014-04-21,0,7.0,0.25,1.0,0.04212783797729616,596.8669996261602,1.0,0.0,1865.8690000000001,322.493,0.0,0.0,0.0,0.0,33.201,18.149,0.0,0.0,
32,2014-04-22,1,7.0,-0.4,0.6,0.007632545771931954,727.9210000038145,1.0,1.0,1740.156,142.346,0.0,0.0,0.0,0.0,42.314,198.966,0.0,0.0,
33,2014-04-23,2,7.0,-1.0,0.3333333333333333,0.04466630042821723,657.5240001678465,0.0,0.0,517.355,50.783,0.0,0.0,0.0,0.0,46.382000000000005,14.192,47.435,0.0,
34,2014-04-24,3,7.333333333333333,0.3333333333333333,1.0,0.0647058823529411,620.213000059128,0.0,0.0,383.36699999999996,75.65,0.0,0.0,0.0,32.423,33.272000000000006,0.0,94.26599999999999,0.0,
35,2014-04-25,4,8.0,0.8,1.4,0.005905695611577957,805.6799995899205,0.0,0.0,1985.564,511.516,0.0,0.0,0.0,0.0,73.436,0.0,0.0,0.0,
36,2014-04-26,5,8.0,-1.0,1.0,0.1334975369458128,184.45900034904486,0.0,1.0,9402.421,29.208,0.0,0.0,0.0,0.0,15.087,0.0,0.0,0.0,
37,2014-04-27,6,7.666666666666667,0.0,1.0,0.003124999999999996,439.1410000324257,0.0,0.0,233.617,162.703,0.0,0.0,0.0,0.0,42.509,0.0,0.0,0.0,
45,2014-04-28,0,,,,0.0,56.5980002880097,1.0,0.0,56.04600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,2014-04-29,1,,,,0.0037037037037037,170.51099991798392,0.0,0.0,200.214,27.243000000000002,0.0,0.0,0.0,0.0,9.134,0.0,0.0,0.0,
38,2014-04-30,2,7.0,1.0,1.0,0.05674603174603173,172.03800010681152,0.0,0.0,145.39999999999998,8.086,0.0,0.0,0.0,0.0,18.492,0.0,0.0,0.0,
39,2014-05-01,3,6.0,0.0,0.5,0.08296407075071077,302.8090000152587,0.0,0.0,133.464,0.0,0.0,0.0,0.0,0.0,30.71,179.511,0.0,0.0,
40,2014-05-02,4,6.666666666666667,0.3333333333333333,1.0,0.0125,288.2680001258849,0.0,0.0,240.869,7.036,0.0,0.0,0.0,0.0,51.397999999999996,0.0,0.0,0.0,
41,2014-05-03,5,6.8,0.2,1.0,0.0038194444444444417,694.1940002441409,0.0,0.0,489.037,117.48,0.0,0.0,0.0,0.0,66.292,21.135,0.0,0.0,
42,2014-05-04,6,6.8,0.0,0.8,0.0006944444444444417,354.1380004882811,0.0,0.0,209.419,59.026,0.0,0.0,0.0,0.0,54.525999999999996,31.135,0.0,0.0,
43,2014-05-05,0,7.0,-1.0,1.0,0.006493506493506493,199.8310003280639,0.0,0.0,4698.054,121.704,0.0,0.0,0.0,0.0,15.126,0.0,0.0,0.0,
